Real GDP,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
,,-5837600000.0,94.92,9.3,3.08,0.0,69.40558,-14.8,75.95,102.0
,,-4884000000.0,94.91,9.2,3.07,0.9,69.33381,-15.6,74.76,101.5
499890.7,4.21151146467007,-5524800000.0,94.64,9.2,2.99,2.7,69.03223,-14.8,75.58,102.1
,,-6370700000.0,94.86,9.2,2.68,3.5,70.41808,-12.9,77.04,101.2
,,-5871800000.0,94.79,9.2,2.68,2.5,72.66644,-13.7,77.84,102.5
502975.1,4.12037037037036,-4396800000.0,94.91,9.2,2.72,2.8,74.4689,-12.5,82.67,102.4
,,-6628800000.0,95.02,9.2,3.0,3.1,74.92906,-9.4,85.28,103.6
,,-7189700000.0,95.45,9.2,3.34,5.7,75.9206,-12.4,91.45,104.9
509559.8,5.02072777521876,-7342500000.0,95.22,9.2,3.44,5.9,78.06924,-14.4,96.52,106.1
,,-8137100000.0,95.67,9.2,3.6,7.6,80.27084,-14.9,103.72,106.6
,,-7685800000.0,96.45,9.1,3.61,8.0,77.71714,-16.0,114.64,105.3
509589.1,3.77101317582917,-7978700000.0,96.78,9.1,3.69,8.9,79.38682,-16.5,123.26,103.5
,,-7442300000.0,96.83,9.1,3.49,7.4,79.27151,-15.4,114.99,107.0
,,-7220200000.0,96.91,9.2,3.43,7.7,76.68448,-16.1,113.83,103.8
511182.5,2.51459362370898,-7676300000.0,96.48,9.2,3.4,6.7,76.09155,-15.0,116.97,105.1
,,-7222900000.0,96.98,9.2,2.98,2.9,64.30946,-19.0,110.22,104.0
,,-8031499999.999999,96.91,9.2,2.64,0.6,60.32637,-18.7,112.83,103.4
513082.5,2.17874610938185,-7469800000.0,97.14,9.3,2.99,-2.2,63.06042,-16.2,109.55,103.7
,,-5867100000.0,97.41,9.4,3.41,-3.9,60.70616,-18.9,110.77,105.9
,,-6889000000.0,97.8,9.4,3.16,-4.2,61.66168,-19.8,107.87,103.8
512811.0,2.23684210526311,-6356100000.0,97.46,9.5,3.18,-3.5,64.98276,-18.8,110.69,103.0
,,-7635600000.0,97.86,9.5,3.02,-4.1,68.63309,-16.9,119.33,103.4
,,-7031100000.0,98.67,9.5,2.95,-4.0,70.21676,-13.3,125.45,102.8
