Date,Real GDP growth,Retail Sales,NET TRADE,Inflation (HICP/CPI),Unemployment rate,Interest rate 10 year government bond yield,Business Confidence Index,Stock Market Index,Consumer Confidence Index,Oil price,Industrial Production
2016-01-01,45365.3,-2.95733709253065,-1231700000.0,98.14009,24.6,9.08,4.5,77.00568,-61.9,30.7,87.7
2016-02-01,,,-1528300000.0,97.72501,24.1,10.41,-16.2,66.40192,-61.3,32.18,84.2
2016-03-01,,,-1408100000.0,99.04065,24.3,9.12,-11.8,75.3708,-62.2,38.21,85.6
2016-04-01,45341.9,-3.88192665179743,-1372400000.0,99.77558,23.7,9.03,-7.4,77.48669,-64.9,41.58,88.6
2016-05-01,,,-1432100000.0,99.32848,23.8,7.64,-8.2,84.25322,-61.5,46.74,86.8
2016-06-01,,,-1446900000.0,100.1207,23.9,7.92,-10.5,80.76051,-56.9,48.25,87.3
2016-07-01,45465.9,2.81423878702756,-1426700000.0,98.46955,23.6,7.99,-7.4,74.97627,-59.0,44.95,88.0
2016-08-01,,,-1255100000.0,98.13389,23.9,8.19,-3.5,76.46793,-64.1,45.84,88.5
2016-09-01,,,-1318700000.0,99.87823,23.7,8.34,-4.8,76.50712,-62.5,46.57,87.3
2016-10-01,45736.2,1.96235142781184,-1461100000.0,100.2672,23.3,8.33,2.8,79.13374,-57.7,49.52,90.3
2016-11-01,,,-1599000000.0,99.10326,23.8,7.33,4.8,80.84563,-63.4,44.73,89.9
2016-12-01,,,-1574600000.0,100.1095,24.0,6.94,-2.2,85.32062,-60.0,53.31,91.6
2017-01-01,45818.6,3.09480757055869,-1374700000.0,99.27901,23.2,7.04,3.0,87.59054,-63.2,54.58,92.1
2017-02-01,,,-1744800000.0,98.99581,23.1,7.52,2.4,85.46384,-66.3,54.87,93.0
2017-03-01,,,-1581100000.0,100.7698,22.7,7.17,6.0,87.62837,-68.2,51.59,92.4
2017-04-01,46065.9,2.14387319581428,-1480800000.0,101.4137,21.8,6.7,9.2,92.29252,-63.2,52.31,88.9
2017-05-01,,,-1512500000.0,100.5134,22.2,5.86,9.6,104.338,-61.9,50.33,92.3
2017-06-01,,,-1421500000.0,101.138,21.7,5.76,10.8,108.5292,-62.8,46.37,91.7
2017-07-01,46481.1,0.21502281529808,-1671400000.0,99.45373,21.1,5.33,13.1,113.5622,-56.8,48.48,90.1
2017-08-01,,,-1797200000.0,99.00959,21.1,5.55,18.0,112.0435,-53.4,51.7,93.4
